Datetime,open,high,low,close
2021-04-22 10:00:00,30876.0,30921.1,30794.75,30891.8
2021-04-22 10:15:00,30876.1,30987.45,30853.65,30987.45
2021-04-22 10:30:00,31022.95,31043.85,30978.2,30982.9
2021-04-22 10:45:00,30982.3,31040.9,30982.3,30985.5
2021-04-22 11:00:00,30965.5,31000.7,30941.3,31000.7
2021-04-22 11:15:00,30983.3,31097.35,30983.3,31095.4
2021-04-22 11:30:00,31142.0,31241.5,31116.05,31241.5
2021-04-22 11:45:00,31256.05,31337.45,31219.75,31325.95
2021-04-22 12:00:00,31265.85,31384.75,31226.25,31384.75
2021-04-22 12:15:00,31375.4,31444.65,31351.8,31385.85
2021-04-22 12:30:00,31323.15,31405.35,31319.55,31334.85
2021-04-22 12:45:00,31353.85,31492.8,31353.85,31449.95
2021-04-22 13:00:00,31462.65,31523.55,31388.5,31399.3
2021-04-22 13:15:00,31404.7,31540.25,31404.7,31430.4
2021-04-22 13:30:00,31403.4,31494.75,31393.65,31494.75
2021-04-22 13:45:00,31505.5,31537.5,31484.2,31511.2
2021-04-22 14:00:00,31535.4,31634.9,31535.4,31633.95
2021-04-22 14:15:00,31626.0,31626.0,31519.05,31576.35
2021-04-22 14:30:00,31607.95,31698.25,31607.95,31661.75
2021-04-22 14:45:00,31662.8,31735.0,31662.8,31676.0
2021-04-22 15:00:00,31739.3,31818.95,31739.3,31802.65
2021-04-22 15:15:00,31772.45,31805.55,31726.55,31726.55
2021-04-23 09:15:00,31505.75,31745.15,31498.7,31498.7
2021-04-23 09:30:00,31459.4,31516.75,31401.65,31516.75
2021-04-23 09:45:00,31555.65,31697.95,31511.2,31697.95
2021-04-23 10:00:00,31684.0,31843.6,31684.0,31829.45
2021-04-23 10:15:00,31841.2,31926.8,31776.75,31926.8
2021-04-23 10:30:00,31961.25,31961.25,31869.6,31881.15
2021-04-23 10:45:00,31826.15,31929.9,31826.15,31881.6
2021-04-23 11:00:00,31898.7,32025.2,31898.7,32025.2
2021-04-23 11:15:00,32039.0,32088.35,32031.2,32074.8
2021-04-23 11:30:00,32049.65,32139.3,32049.65,32108.95
2021-04-23 11:45:00,32113.05,32113.05,32013.65,32024.0
2021-04-23 12:00:00,32053.35,32087.25,32016.65,32028.9
2021-04-23 12:15:00,31976.95,31976.95,31849.7,31924.75
2021-04-23 12:30:00,31960.4,32045.75,31899.55,32029.15
2021-04-23 12:45:00,32030.45,32030.45,31916.65,31931.35
2021-04-23 13:00:00,31958.85,31982.75,31918.0,31929.7
2021-04-23 13:15:00,31944.45,32029.6,31929.1,32029.6
2021-04-23 13:30:00,31985.85,31999.5,31764.0,31803.7
2021-04-23 13:45:00,31727.45,31867.0,31727.45,31861.8
2021-04-23 14:00:00,31886.85,31886.85,31740.8,31740.8
2021-04-23 14:15:00,31771.1,31820.4,31628.35,31628.35
2021-04-23 14:30:00,31624.9,31689.3,31576.8,31585.15
2021-04-23 14:45:00,31583.15,31688.65,31583.15,31617.05
2021-04-23 15:00:00,31649.95,31794.3,31649.95,31734.2
2021-04-23 15:15:00,31753.6,31753.6,31625.85,31625.85
2021-04-26 09:15:00,32264.9,32454.7,32194.8,32347.2
2021-04-26 09:30:00,32430.4,32497.3,32424.4,32431.9
2021-04-26 09:45:00,32413.75,32538.15,32385.05,32538.15
2021-04-26 10:00:00,32569.5,32579.85,32459.7,32459.7
2021-04-26 10:15:00,32456.85,32483.3,32407.7,32483.3
2021-04-26 10:30:00,32483.25,32495.6,32422.65,32483.65
2021-04-26 10:45:00,32502.35,32502.35,32431.05,32453.7
2021-04-26 11:00:00,32461.0,32577.5,32461.0,32577.5
2021-04-26 11:15:00,32565.0,32565.0,32489.55,32489.55
2021-04-26 11:30:00,32500.75,32549.0,32485.3,32527.0
2021-04-26 11:45:00,32516.65,32543.05,32476.2,32488.75
2021-04-26 12:00:00,32478.85,32508.2,32474.85,32488.3
2021-04-26 12:15:00,32504.3,32505.15,32373.2,32410.25
2021-04-26 12:30:00,32384.05,32384.05,32339.95,32368.1
2021-04-26 12:45:00,32392.95,32464.25,32392.95,32464.25
2021-04-26 13:00:00,32463.85,32463.85,32372.75,32372.75
2021-04-26 13:15:00,32374.2,32389.3,32314.6,32377.05
2021-04-26 13:30:00,32378.55,32378.55,32283.4,32299.55
2021-04-26 13:45:00,32296.45,32421.3,32294.95,32403.8
2021-04-26 14:00:00,32428.6,32431.8,32335.6,32349.7
2021-04-26 14:15:00,32310.7,32334.1,32226.9,32248.3
2021-04-26 14:30:00,32253.45,32287.5,32181.75,32241.95
2021-04-26 14:45:00,32287.35,32346.3,32246.55,32248.95
2021-04-26 15:00:00,32290.5,32313.9,32260.0,32260.0
2021-04-26 15:15:00,32271.55,32281.85,32243.85,32271.2
2021-04-27 09:15:00,32387.9,32425.1,32207.4,32207.4
2021-04-27 09:30:00,32236.7,32290.55,32234.25,32290.55
2021-04-27 09:45:00,32283.3,32355.9,32270.45,32322.45
2021-04-27 10:00:00,32342.75,32377.7,32320.9,32353.65
2021-04-27 10:15:00,32360.95,32372.15,32310.5,32372.15
2021-04-27 10:30:00,32384.25,32448.9,32357.15,32448.9
2021-04-27 10:45:00,32428.95,32514.55,32428.95,32514.55
2021-04-27 11:00:00,32506.4,32536.0,32485.25,32517.15
2021-04-27 11:15:00,32515.6,32515.6,32461.05,32500.5
